Features,PC1,PC2,PC3,PC4,PC5
EState_VSA10,0.5170259840109145,0.6704754704465914,0.10926612219399555,0.25127205712470985,0.17490671791161128
EState_VSA11,0.0,0.0,0.0,0.0,0.0
EState_VSA2,0.4617613585376667,0.30940529138803946,0.12783432709456635,0.020652898331894085,0.12730289970755757
EState_VSA3,0.38832245183744035,0.3482026260102448,0.06522805778403706,0.2363074217515692,0.09819598476104974
EState_VSA4,0.1269323544076376,0.6918635790537652,0.06267928157610811,0.20883451915539344,0.04437414568476603
EState_VSA5,0.059059951188130524,0.30981605142736907,0.09498062011437218,0.026996376582289948,0.0018085533703124297
EState_VSA6,0.17070927880061496,0.5403157107119174,0.10012967105515122,0.2633372852251208,0.07293249412329558
EState_VSA7,0.08395262705109022,0.030183011392039095,0.34483781009321074,0.21238650725382083,0.044151101939033564
EState_VSA8,0.0039003215487947575,0.596699379463864,0.02927670389104091,0.3621109935882083,0.0629924812359907
EState_VSA9,0.0679287872759173,0.15634962452017262,0.10018200508678383,0.25510389603147693,0.06981298233402285
VSA_EState1,0.15888562531194284,0.058861891397491935,0.16078705207049554,0.5043417151170487,0.2653763028355928
VSA_EState10,0.06396034811355916,0.0696072972164757,0.2361075315085721,0.11467577414796584,0.2460927837137275
VSA_EState2,0.5311444068414828,0.5353618568282922,0.22398966986599717,0.3746841371835233,0.022871272765979164
VSA_EState3,0.2029225072870745,0.3429815957070962,0.14628660024833445,0.48039996633607684,0.20515681425397625
VSA_EState4,0.03862012132393186,0.06995602661670845,0.16203897604839002,0.3939113432691308,0.007106885113796119
VSA_EState5,0.27824050006666984,0.5850276278103674,0.12719964578444715,0.012336964267861983,0.1878789645306562
VSA_EState6,0.11918488277662108,0.18768626694070822,0.8117211492976018,0.0032615809474513028,0.1391039128147017
VSA_EState7,0.03717093558239519,0.4998495007639179,0.10561441307192351,0.27959594846027597,0.12124701572315376
VSA_EState8,0.20297135795771468,0.522434554171037,0.1298273668337627,0.30923945556819454,0.16753129060904362
VSA_EState9,0.0514218342774937,0.08516368559204067,0.16266960559415464,0.22963718129354352,0.24335060335537065
FractionCSP3,0.3201141627177003,0.5308985603283023,0.6146979202771342,0.031156356608774017,0.2646321888362019
HeavyAtomCount,0.9742472041944761,0.006227111389440054,0.16345702069151583,0.04051157676606214,0.01926215800521019
NHOHCount,0.31327007991750944,0.25323268020712353,0.19275041311227775,0.19836690658201825,0.05640532028941788
NOCount,0.6619902067586577,0.5572985346815719,0.3186373190857258,0.062026851249246485,0.27555530760667685
NumAliphaticCarbocycles,0.09207347859997297,0.2547487658951221,0.055646945342918204,0.0011162043143618909,0.1065887583192436
